# emoji	group	subgroup	name	keywords
😀	Smileys & Emotion	face-smiling	grinning face	grinning face,cheerful,cheery,face,grin,grinning,happy,laugh,nice,smile,smiling,teeth
😃	Smileys & Emotion	face-smiling	grinning face with big eyes	grinning face with big eyes,awesome,big,eyes,face,grin,grinning,happy,mouth,open,smile,smiling,teeth,yay
😄	Smileys & Emotion	face-smiling	grinning face with smiling eyes	grinning face with smiling eyes,eye,eyes,face,grin,grinning,happy,laugh,lol,mouth,open,smile,smiling
😁	Smileys & Emotion	face-smiling	beaming face with smiling eyes	beaming face with smiling eyes,beaming,eye,eyes,face,grin,grinning,happy,nice,smile,smiling,teeth
😆	Smileys & Emotion	face-smiling	grinning squinting face	grinning squinting face,closed,eyes,face,grinning,haha,hahaha,happy,laugh,lol,mouth,open,rofl,smile,smiling,squinting
😅	Smileys & Emotion	face-smiling	grinning face with sweat	grinning face with sweat,cold,dejected,excited,face,grinning,mouth,nervous,open,smile,smiling,stress,stressed,sweat
🤣	Smileys & Emotion	face-smiling	rolling on the floor laughing	rolling on the floor laughing,crying,face,floor,funny,haha,happy,hehe,hilarious,joy,laugh,lmao,lol,rofl,roflmao,rolling,tear
😂	Smileys & Emotion	face-smiling	face with tears of joy	face with tears of joy,crying,face,feels,funny,haha,happy,hehe,hilarious,joy,laugh,lmao,lol,rofl,roflmao,tear
🙂	Smileys & Emotion	face-smiling	slightly smiling face	slightly smiling face,face,happy,slightly,smile,smiling
🙃	Smileys & Emotion	face-smiling	upside-down face	upside-down face,face,hehe,smile,upside-down
🫠	Smileys & Emotion	face-smiling	melting face	melting face,disappear,dissolve,embarrassed,face,haha,heat,hot,liquid,lol,melt,melting,sarcasm,sarcastic
😉	Smileys & Emotion	face-smiling	winking face	winking face,face,flirt,heartbreaker,sexy,slide,tease,wink,winking,winks
😊	Smileys & Emotion	face-smiling	smiling face with smiling eyes	smiling face with smiling eyes,blush,eye,eyes,face,glad,satisfied,smile,smiling
😇	Smileys & Emotion	face-smiling	smiling face with halo	smiling face with halo,angel,angelic,angels,blessed,face,fairy,fairytale,fantasy,halo,happy,innocent,peaceful,smile,smiling,spirit,tale
🥰	Smileys & Emotion	face-affection	smiling face with hearts	smiling face with hearts,3,adore,crush,face,heart,hearts,ily,love,romance,smile,smiling,you
😍	Smileys & Emotion	face-affection	smiling face with heart-eyes	smiling face with heart-eyes,143,bae,eye,face,feels,heart-eyes,hearts,ily,kisses,love,romance,romantic,smile,xoxo
🤩	Smileys & Emotion	face-affection	star-struck	star-struck,excited,eyes,face,grinning,smile,star,starry-eyed,wow
😘	Smileys & Emotion	face-affection	face blowing a kiss	face blowing a kiss,adorbs,bae,blowing,face,flirt,heart,ily,kiss,love,lover,miss,muah,romantic,smooch,xoxo,you
😗	Smileys & Emotion	face-affection	kissing face	kissing face,143,date,dating,face,flirt,ily,kiss,love,smooch,smooches,xoxo,you
☺️	Smileys & Emotion	face-affection	smiling face	smiling face
😚	Smileys & Emotion	face-affection	kissing face with closed eyes	kissing face with closed eyes,143,bae,blush,closed,date,dating,eye,eyes,face,flirt,ily,kisses,kissing,smooches,xoxo
😙	Smileys & Emotion	face-affection	kissing face with smiling eyes	kissing face with smiling eyes,143,closed,date,dating,eye,eyes,face,flirt,ily,kiss,kisses,kissing,love,night,smile,smiling
🥲	Smileys & Emotion	face-affection	smiling face with tear	smiling face with tear,face,glad,grateful,happy,joy,pain,proud,relieved,smile,smiley,smiling,tear,touched
😋	Smileys & Emotion	face-tongue	face savoring food	face savoring food,delicious,eat,face,food,full,hungry,savor,smile,smiling,tasty,um,yum,yummy
😛	Smileys & Emotion	face-tongue	face with tongue	face with tongue,awesome,cool,face,nice,party,stuck-out,sweet,tongue
😜	Smileys & Emotion	face-tongue	winking face with tongue	winking face with tongue,crazy,epic,eye,face,funny,joke,loopy,nutty,party,stuck-out,tongue,wacky,weirdo,wink,winking,yolo
🤪	Smileys & Emotion	face-tongue	zany face	zany face,crazy,eye,eyes,face,goofy,large,small,zany
😝	Smileys & Emotion	face-tongue	squinting face with tongue	squinting face with tongue,closed,eye,eyes,face,gross,horrible,omg,squinting,stuck-out,taste,tongue,whatever,yolo
🤑	Smileys & Emotion	face-tongue	money-mouth face	money-mouth face,face,money,money-mouth,mouth,paid
🤗	Smileys & Emotion	face-hand	smiling face with open hands	smiling face with open hands,face,hands,hug,hugging,open,smiling
🤭	Smileys & Emotion	face-hand	face with hand over mouth	face with hand over mouth,face,giggle,giggling,hand,mouth,oops,realization,secret,shock,sudden,surprise,whoops
🫢	Smileys & Emotion	face-hand	face with open eyes and hand over mouth	face with open eyes and hand over mouth,amazement,awe,disbelief,embarrass,eyes,face,gasp,hand,mouth,omg,open,over,quiet,scared,shock,surprise
🫣	Smileys & Emotion	face-hand	face with peeking eye	face with peeking eye,captivated,embarrass,eye,face,hide,hiding,peek,peeking,peep,scared,shy,stare
🤫	Smileys & Emotion	face-hand	shushing face	shushing face,face,quiet,shh,shush,shushing
🤔	Smileys & Emotion	face-hand	thinking face	thinking face,chin,consider,face,hmm,ponder,pondering,thinking,wondering
🫡	Smileys & Emotion	face-hand	saluting face	saluting face,face,good,luck,ma’am,ok,respect,salute,saluting,sir,troops,yes
🤐	Smileys & Emotion	face-neutral-skeptical	zipper-mouth face	zipper-mouth face,face,keep,mouth,quiet,secret,shut,zip,zipper,zipper-mouth
🤨	Smileys & Emotion	face-neutral-skeptical	face with raised eyebrow	face with raised eyebrow,disapproval,disbelief,distrust,emoji,eyebrow,face,hmm,mild,raised,skeptic,skeptical,skepticism,surprise,what
😐	Smileys & Emotion	face-neutral-skeptical	neutral face	neutral face,awkward,blank,deadpan,expressionless,face,fine,jealous,meh,neutral,oh,shade,straight,unamused,unhappy,unimpressed,whatever
😑	Smileys & Emotion	face-neutral-skeptical	expressionless face	expressionless face,awkward,dead,expressionless,face,fine,inexpressive,jealous,meh,not,oh,omg,straight,uh,unhappy,unimpressed,whatever
😶	Smileys & Emotion	face-neutral-skeptical	face without mouth	face without mouth,awkward,blank,expressionless,face,mouth,mouthless,mute,quiet,secret,silence,silent,speechless
🫥	Smileys & Emotion	face-neutral-skeptical	dotted line face	dotted line face,depressed,disappear,dotted,face,hidden,hide,introvert,invisible,line,meh,whatever,wtv
😶‍🌫️	Smileys & Emotion	face-neutral-skeptical	face in clouds	face in clouds
😏	Smileys & Emotion	face-neutral-skeptical	smirking face	smirking face,boss,dapper,face,flirt,homie,kidding,leer,shade,slick,sly,smirk,smug,snicker,suave,suspicious,swag
😒	Smileys & Emotion	face-neutral-skeptical	unamused face	unamused face,...,bored,face,fine,jealous,jel,jelly,pissed,smh,ugh,uhh,unamused,unhappy,weird,whatever
🙄	Smileys & Emotion	face-neutral-skeptical	face with rolling eyes	face with rolling eyes,eyeroll,eyes,face,rolling,shade,ugh,whatever
😬	Smileys & Emotion	face-neutral-skeptical	grimacing face	grimacing face,awk,awkward,dentist,face,grimace,grimacing,grinning,smile,smiling
😮‍💨	Smileys & Emotion	face-neutral-skeptical	face exhaling	face exhaling,blow,blowing,exhale,exhaling,exhausted,face,gasp,groan,relief,sigh,smiley,smoke,whisper,whistle
🤥	Smileys & Emotion	face-neutral-skeptical	lying face	lying face,face,liar,lie,lying,pinocchio
🫨	Smileys & Emotion	face-neutral-skeptical	shaking face	shaking face,crazy,daze,earthquake,face,omg,panic,shaking,shock,surprise,vibrate,whoa,wow
🙂‍↔️	Smileys & Emotion	face-neutral-skeptical	head shaking horizontally	head shaking horizontally
🙂‍↕️	Smileys & Emotion	face-neutral-skeptical	head shaking vertically	head shaking vertically
😌	Smileys & Emotion	face-sleepy	relieved face	relieved face,calm,face,peace,relief,relieved,zen
😔	Smileys & Emotion	face-sleepy	pensive face	pensive face,awful,bored,dejected,died,disappointed,face,losing,lost,pensive,sad,sucks
😪	Smileys & Emotion	face-sleepy	sleepy face	sleepy face,crying,face,good,night,sad,sleep,sleeping,sleepy,tired
🤤	Smileys & Emotion	face-sleepy	drooling face	drooling face,drooling,face
😴	Smileys & Emotion	face-sleepy	sleeping face	sleeping face,bed,bedtime,face,good,goodnight,nap,night,sleep,sleeping,tired,whatever,yawn,zzz
🫩	Smileys & Emotion	face-sleepy	face with bags under eyes	face with bags under eyes,bags,bored,exhausted,eyes,face,fatigued,late,sleepy,tired,weary
😷	Smileys & Emotion	face-unwell	face with medical mask	face with medical mask,cold,dentist,dermatologist,doctor,dr,face,germs,mask,medical,medicine,sick
🤒	Smileys & Emotion	face-unwell	face with thermometer	face with thermometer,face,ill,sick,thermometer
🤕	Smileys & Emotion	face-unwell	face with head-bandage	face with head-bandage,bandage,face,head-bandage,hurt,injury,ouch
🤢	Smileys & Emotion	face-unwell	nauseated face	nauseated face,face,gross,nasty,nauseated,sick,vomit
🤮	Smileys & Emotion	face-unwell	face vomiting	face vomiting,barf,ew,face,gross,puke,sick,spew,throw,up,vomit,vomiting
🤧	Smileys & Emotion	face-unwell	sneezing face	sneezing face,face,fever,flu,gesundheit,sick,sneeze,sneezing
🥵	Smileys & Emotion	face-unwell	hot face	hot face,dying,face,feverish,heat,hot,panting,red-faced,stroke,sweating,tongue
🥶	Smileys & Emotion	face-unwell	cold face	cold face,blue,blue-faced,cold,face,freezing,frostbite,icicles,subzero,teeth
🥴	Smileys & Emotion	face-unwell	woozy face	woozy face,dizzy,drunk,eyes,face,intoxicated,mouth,tipsy,uneven,wavy,woozy
😵	Smileys & Emotion	face-unwell	face with crossed-out eyes	face with crossed-out eyes,crossed-out,dead,dizzy,eyes,face,feels,knocked,out,sick,tired
😵‍💫	Smileys & Emotion	face-unwell	face with spiral eyes	face with spiral eyes,confused,dizzy,eyes,face,hypnotized,omg,smiley,spiral,trouble,whoa,woah,woozy
🤯	Smileys & Emotion	face-unwell	exploding head	exploding head,blown,explode,exploding,head,mind,mindblown,no,shocked,way
🤠	Smileys & Emotion	face-hat	cowboy hat face	cowboy hat face,cowboy,cowgirl,face,hat
🥳	Smileys & Emotion	face-hat	partying face	partying face,bday,birthday,celebrate,celebration,excited,face,happy,hat,hooray,horn,party,partying
🥸	Smileys & Emotion	face-hat	disguised face	disguised face,disguise,eyebrow,face,glasses,incognito,moustache,mustache,nose,person,spy,tache,tash
😎	Smileys & Emotion	face-glasses	smiling face with sunglasses	smiling face with sunglasses,awesome,beach,bright,bro,chilling,cool,face,rad,relaxed,shades,slay,smile,style,sunglasses,swag,win
🤓	Smileys & Emotion	face-glasses	nerd face	nerd face,brainy,clever,expert,face,geek,gifted,glasses,intelligent,nerd,smart
🧐	Smileys & Emotion	face-glasses	face with monocle	face with monocle,classy,face,fancy,monocle,rich,stuffy,wealthy
😕	Smileys & Emotion	face-concerned	confused face	confused face,befuddled,confused,confusing,dunno,face,frown,hm,meh,not,sad,sorry,sure
🫤	Smileys & Emotion	face-concerned	face with diagonal mouth	face with diagonal mouth,confused,confusion,diagonal,disappointed,doubt,doubtful,face,frustrated,frustration,meh,mouth,skeptical,unsure,whatever,wtv
😟	Smileys & Emotion	face-concerned	worried face	worried face,anxious,butterflies,face,nerves,nervous,sad,stress,stressed,surprised,worried,worry
🙁	Smileys & Emotion	face-concerned	slightly frowning face	slightly frowning face,face,frown,frowning,sad,slightly
☹️	Smileys & Emotion	face-concerned	frowning face	frowning face
😮	Smileys & Emotion	face-concerned	face with open mouth	face with open mouth,believe,face,forgot,mouth,omg,open,shocked,surprised,sympathy,unbelievable,unreal,whoa,wow,you
😯	Smileys & Emotion	face-concerned	hushed face	hushed face,epic,face,hushed,omg,stunned,surprised,whoa,woah
😲	Smileys & Emotion	face-concerned	astonished face	astonished face,astonished,cost,face,no,omg,shocked,totally,way
😳	Smileys & Emotion	face-concerned	flushed face	flushed face,amazed,awkward,crazy,dazed,dead,disbelief,embarrassed,face,flushed,geez,heat,hot,impressed,jeez,what,wow
🫪	Smileys & Emotion	face-concerned	distorted face	distorted face,anxiety,bloated,panic,shocked,surprised,vulnerable
🥺	Smileys & Emotion	face-concerned	pleading face	pleading face,begging,big,eyes,face,mercy,not,pleading,please,pretty,puppy,sad,why
🥹	Smileys & Emotion	face-concerned	face holding back tears	face holding back tears,admiration,aww,back,cry,embarrassed,face,feelings,grateful,gratitude,holding,joy,please,proud,resist,sad,tears
😦	Smileys & Emotion	face-concerned	frowning face with open mouth	frowning face with open mouth,caught,face,frown,frowning,guard,mouth,open,scared,scary,surprise,what,wow
😧	Smileys & Emotion	face-concerned	anguished face	anguished face,anguished,face,forgot,scared,scary,stressed,surprise,unhappy,what,wow
😨	Smileys & Emotion	face-concerned	fearful face	fearful face,afraid,anxious,blame,face,fear,fearful,scared,worried
😰	Smileys & Emotion	face-concerned	anxious face with sweat	anxious face with sweat,anxious,blue,cold,eek,face,mouth,nervous,open,rushed,scared,sweat,yikes
😥	Smileys & Emotion	face-concerned	sad but relieved face	sad but relieved face,anxious,call,close,complicated,disappointed,face,not,relieved,sad,sweat,time,whew
😢	Smileys & Emotion	face-concerned	crying face	crying face,awful,cry,crying,face,feels,miss,sad,tear,triste,unhappy
😭	Smileys & Emotion	face-concerned	loudly crying face	loudly crying face,bawling,cry,crying,face,loudly,sad,sob,tear,tears,unhappy
😱	Smileys & Emotion	face-concerned	face screaming in fear	face screaming in fear,epic,face,fear,fearful,munch,scared,scream,screamer,screaming,shocked,surprised,woah
😖	Smileys & Emotion	face-concerned	confounded face	confounded face,annoyed,confounded,confused,cringe,distraught,face,feels,frustrated,mad,sad
😣	Smileys & Emotion	face-concerned	persevering face	persevering face,concentrate,concentration,face,focus,headache,persevere,persevering
😞	Smileys & Emotion	face-concerned	disappointed face	disappointed face,awful,blame,dejected,disappointed,face,fail,losing,sad,unhappy
😓	Smileys & Emotion	face-concerned	downcast face with sweat	downcast face with sweat,close,cold,downcast,face,feels,headache,nervous,sad,scared,sweat,yikes
😩	Smileys & Emotion	face-concerned	weary face	weary face,crying,face,fail,feels,hungry,mad,nooo,sad,sleepy,tired,unhappy,weary
😫	Smileys & Emotion	face-concerned	tired face	tired face,cost,face,feels,nap,sad,sneeze,tired
🥱	Smileys & Emotion	face-concerned	yawning face	yawning face,bedtime,bored,face,goodnight,nap,night,sleep,sleepy,tired,whatever,yawn,yawning,zzz
😤	Smileys & Emotion	face-negative	face with steam from nose	face with steam from nose,anger,angry,face,feels,fume,fuming,furious,fury,mad,nose,steam,triumph,unhappy,won
😡	Smileys & Emotion	face-negative	enraged face	enraged face,anger,angry,enraged,face,feels,mad,maddening,pouting,rage,red,shade,unhappy,upset
😠	Smileys & Emotion	face-negative	angry face	angry face,anger,angry,blame,face,feels,frustrated,mad,maddening,rage,shade,unhappy,upset
🤬	Smileys & Emotion	face-negative	face with symbols on mouth	face with symbols on mouth,censor,cursing,cussing,face,mad,mouth,pissed,swearing,symbols
😈	Smileys & Emotion	face-negative	smiling face with horns	smiling face with horns,demon,devil,evil,face,fairy,fairytale,fantasy,horns,purple,shade,smile,smiling,tale
👿	Smileys & Emotion	face-negative	angry face with horns	angry face with horns,angry,demon,devil,evil,face,fairy,fairytale,fantasy,horns,imp,mischievous,purple,shade,tale
💀	Smileys & Emotion	face-negative	skull	skull,body,dead,death,face,fairy,fairytale,i’m,lmao,monster,tale,yolo
☠️	Smileys & Emotion	face-negative	skull and crossbones	skull and crossbones
💩	Smileys & Emotion	face-costume	pile of poo	pile of poo,bs,comic,doo,dung,face,fml,monster,pile,poo,poop,smelly,smh,stink,stinks,stinky,turd
🤡	Smileys & Emotion	face-costume	clown face	clown face,clown,face
👹	Smileys & Emotion	face-costume	ogre	ogre,creature,devil,face,fairy,fairytale,fantasy,mask,monster,scary,tale
👺	Smileys & Emotion	face-costume	goblin	goblin,angry,creature,face,fairy,fairytale,fantasy,mask,mean,monster,tale
👻	Smileys & Emotion	face-costume	ghost	ghost,boo,creature,excited,face,fairy,fairytale,fantasy,halloween,haunting,monster,scary,silly,tale
👽	Smileys & Emotion	face-costume	alien	alien,creature,extraterrestrial,face,fairy,fairytale,fantasy,monster,space,tale,ufo
👾	Smileys & Emotion	face-costume	alien monster	alien monster,alien,creature,extraterrestrial,face,fairy,fairytale,fantasy,game,gamer,games,monster,pixelated,space,tale,ufo
🤖	Smileys & Emotion	face-costume	robot	robot,face,monster
😺	Smileys & Emotion	cat-face	grinning cat	grinning cat,animal,cat,face,grinning,mouth,open,smile,smiling
😸	Smileys & Emotion	cat-face	grinning cat with smiling eyes	grinning cat with smiling eyes,animal,cat,eye,eyes,face,grin,grinning,smile,smiling
😹	Smileys & Emotion	cat-face	cat with tears of joy	cat with tears of joy,animal,cat,face,joy,laugh,laughing,lol,tear,tears
😻	Smileys & Emotion	cat-face	smiling cat with heart-eyes	smiling cat with heart-eyes,animal,cat,eye,face,heart,heart-eyes,love,smile,smiling
😼	Smileys & Emotion	cat-face	cat with wry smile	cat with wry smile,animal,cat,face,ironic,smile,wry
😽	Smileys & Emotion	cat-face	kissing cat	kissing cat,animal,cat,closed,eye,eyes,face,kiss,kissing
🙀	Smileys & Emotion	cat-face	weary cat	weary cat,animal,cat,face,oh,surprised,weary
😿	Smileys & Emotion	cat-face	crying cat	crying cat,animal,cat,cry,crying,face,sad,tear
😾	Smileys & Emotion	cat-face	pouting cat	pouting cat,animal,cat,face,pouting
🙈	Smileys & Emotion	monkey-face	see-no-evil monkey	see-no-evil monkey,embarrassed,evil,face,forbidden,forgot,gesture,hide,monkey,no,omg,prohibited,scared,secret,smh,watch
🙉	Smileys & Emotion	monkey-face	hear-no-evil monkey	hear-no-evil monkey,animal,ears,evil,face,forbidden,gesture,hear,listen,monkey,no,not,prohibited,secret,shh,tmi
🙊	Smileys & Emotion	monkey-face	speak-no-evil monkey	speak-no-evil monkey,animal,evil,face,forbidden,gesture,monkey,no,not,oops,prohibited,quiet,secret,speak,stealth
💌	Smileys & Emotion	heart	love letter	love letter,heart,letter,love,mail,romance,valentine
💘	Smileys & Emotion	heart	heart with arrow	heart with arrow,143,adorbs,arrow,cupid,date,emotion,heart,ily,love,romance,valentine
💝	Smileys & Emotion	heart	heart with ribbon	heart with ribbon,143,anniversary,emotion,heart,ily,kisses,ribbon,valentine,xoxo
💖	Smileys & Emotion	heart	sparkling heart	sparkling heart,143,emotion,excited,good,heart,ily,kisses,morning,night,sparkle,sparkling,xoxo
💗	Smileys & Emotion	heart	growing heart	growing heart,143,emotion,excited,growing,heart,heartpulse,ily,kisses,muah,nervous,pulse,xoxo
💓	Smileys & Emotion	heart	beating heart	beating heart,143,beating,cardio,emotion,heart,heartbeat,ily,love,pulsating,pulse
💞	Smileys & Emotion	heart	revolving hearts	revolving hearts,143,adorbs,anniversary,emotion,heart,hearts,revolving
💕	Smileys & Emotion	heart	two hearts	two hearts,143,anniversary,date,dating,emotion,heart,hearts,ily,kisses,love,loving,two,xoxo
💟	Smileys & Emotion	heart	heart decoration	heart decoration,143,decoration,emotion,heart,hearth,purple,white
❣️	Smileys & Emotion	heart	heart exclamation	heart exclamation
💔	Smileys & Emotion	heart	broken heart	broken heart,break,broken,crushed,emotion,heart,heartbroken,lonely,sad
❤️‍🔥	Smileys & Emotion	heart	heart on fire	heart on fire
❤️‍🩹	Smileys & Emotion	heart	mending heart	mending heart
❤️	Smileys & Emotion	heart	red heart	red heart
🩷	Smileys & Emotion	heart	pink heart	pink heart,143,adorable,cute,emotion,heart,ily,like,love,pink,special,sweet
🧡	Smileys & Emotion	heart	orange heart	orange heart,143,heart,orange
💛	Smileys & Emotion	heart	yellow heart	yellow heart,143,cardiac,emotion,heart,ily,love,yellow
💚	Smileys & Emotion	heart	green heart	green heart,143,emotion,green,heart,ily,love,romantic
💙	Smileys & Emotion	heart	blue heart	blue heart,143,blue,emotion,heart,ily,love,romance
🩵	Smileys & Emotion	heart	light blue heart	light blue heart,143,blue,cute,cyan,emotion,heart,ily,light,like,love,sky,special,teal
💜	Smileys & Emotion	heart	purple heart	purple heart,143,bestest,emotion,heart,ily,love,purple
🤎	Smileys & Emotion	heart	brown heart	brown heart,143,brown,heart
🖤	Smileys & Emotion	heart	black heart	black heart,black,evil,heart,wicked
🩶	Smileys & Emotion	heart	grey heart	grey heart,143,emotion,gray,grey,heart,ily,love,silver,slate,special
🤍	Smileys & Emotion	heart	white heart	white heart,143,heart,white
💋	Smileys & Emotion	emotion	kiss mark	kiss mark,dating,emotion,heart,kiss,kissing,lips,mark,romance,sexy
💯	Smileys & Emotion	emotion	hundred points	hundred points,100,a+,agree,clearly,definitely,faithful,fleek,full,hundred,keep,perfect,point,score,true,truth,yup
💢	Smileys & Emotion	emotion	anger symbol	anger symbol,anger,angry,comic,mad,symbol,upset
🫯	Smileys & Emotion	emotion	fight cloud	fight cloud,argument,brawl,debate,disagreement,fight,ruckus,wrestle
💥	Smileys & Emotion	emotion	collision	collision,bomb,boom,collide,comic,explode
💫	Smileys & Emotion	emotion	dizzy	dizzy,comic,shining,shooting,star,stars
💦	Smileys & Emotion	emotion	sweat droplets	sweat droplets,comic,drip,droplet,droplets,drops,splashing,squirt,sweat,water,wet,work,workout
💨	Smileys & Emotion	emotion	dashing away	dashing away,away,cloud,comic,dash,dashing,fart,fast,go,gone,gotta,running,smoke
🕳️	Smileys & Emotion	emotion	hole	hole
💬	Smileys & Emotion	emotion	speech balloon	speech balloon,balloon,bubble,comic,dialog,message,sms,speech,talk,text,typing
👁️‍🗨️	Smileys & Emotion	emotion	eye in speech bubble	eye in speech bubble
🗨️	Smileys & Emotion	emotion	left speech bubble	left speech bubble
🗯️	Smileys & Emotion	emotion	right anger bubble	right anger bubble
💭	Smileys & Emotion	emotion	thought balloon	thought balloon,balloon,bubble,cartoon,cloud,comic,daydream,decisions,dream,idea,invent,invention,realize,think,thoughts,wonder
💤	Smileys & Emotion	emotion	ZZZ	zzz,comic,good,goodnight,night,sleep,sleeping,sleepy,tired
👋	People & Body	hand-fingers-open	waving hand	waving hand,bye,cya,g2g,greetings,gtg,hand,hello,hey,hi,later,outtie,ttfn,ttyl,wave,yo,you
👋🏻	People & Body	hand-fingers-open	waving hand: light skin tone	waving hand: light skin tone
👋🏼	People & Body	hand-fingers-open	waving hand: medium-light skin tone	waving hand: medium-light skin tone
👋🏽	People & Body	hand-fingers-open	waving hand: medium skin tone	waving hand: medium skin tone
👋🏾	People & Body	hand-fingers-open	waving hand: medium-dark skin tone	waving hand: medium-dark skin tone
👋🏿	People & Body	hand-fingers-open	waving hand: dark skin tone	waving hand: dark skin tone
🤚	People & Body	hand-fingers-open	raised back of hand	raised back of hand,back,backhand,hand,raised
🤚🏻	People & Body	hand-fingers-open	raised back of hand: light skin tone	raised back of hand: light skin tone
🤚🏼	People & Body	hand-fingers-open	raised back of hand: medium-light skin tone	raised back of hand: medium-light skin tone
🤚🏽	People & Body	hand-fingers-open	raised back of hand: medium skin tone	raised back of hand: medium skin tone
🤚🏾	People & Body	hand-fingers-open	raised back of hand: medium-dark skin tone	raised back of hand: medium-dark skin tone
🤚🏿	People & Body	hand-fingers-open	raised back of hand: dark skin tone	raised back of hand: dark skin tone
🖐️	People & Body	hand-fingers-open	hand with fingers splayed	hand with fingers splayed
🖐🏻	People & Body	hand-fingers-open	hand with fingers splayed: light skin tone	hand with fingers splayed: light skin tone
🖐🏼	People & Body	hand-fingers-open	hand with fingers splayed: medium-light skin tone	hand with fingers splayed: medium-light skin tone
🖐🏽	People & Body	hand-fingers-open	hand with fingers splayed: medium skin tone	hand with fingers splayed: medium skin tone
🖐🏾	People & Body	hand-fingers-open	hand with fingers splayed: medium-dark skin tone	hand with fingers splayed: medium-dark skin tone
🖐🏿	People & Body	hand-fingers-open	hand with fingers splayed: dark skin tone	hand with fingers splayed: dark skin tone
✋	People & Body	hand-fingers-open	raised hand	raised hand,5,five,hand,high,raised,stop
✋🏻	People & Body	hand-fingers-open	raised hand: light skin tone	raised hand: light skin tone
✋🏼	People & Body	hand-fingers-open	raised hand: medium-light skin tone	raised hand: medium-light skin tone
✋🏽	People & Body	hand-fingers-open	raised hand: medium skin tone	raised hand: medium skin tone
✋🏾	People & Body	hand-fingers-open	raised hand: medium-dark skin tone	raised hand: medium-dark skin tone
✋🏿	People & Body	hand-fingers-open	raised hand: dark skin tone	raised hand: dark skin tone
🖖	People & Body	hand-fingers-open	vulcan salute	vulcan salute,finger,hand,hands,salute,vulcan
🖖🏻	People & Body	hand-fingers-open	vulcan salute: light skin tone	vulcan salute: light skin tone
🖖🏼	People & Body	hand-fingers-open	vulcan salute: medium-light skin tone	vulcan salute: medium-light skin tone
🖖🏽	People & Body	hand-fingers-open	vulcan salute: medium skin tone	vulcan salute: medium skin tone
🖖🏾	People & Body	hand-fingers-open	vulcan salute: medium-dark skin tone	vulcan salute: medium-dark skin tone
🖖🏿	People & Body	hand-fingers-open	vulcan salute: dark skin tone	vulcan salute: dark skin tone
🫱	People & Body	hand-fingers-open	rightwards hand	rightwards hand,hand,handshake,hold,reach,right,rightward,rightwards,shake
🫱🏻	People & Body	hand-fingers-open	rightwards hand: light skin tone	rightwards hand: light skin tone
🫱🏼	People & Body	hand-fingers-open	rightwards hand: medium-light skin tone	rightwards hand: medium-light skin tone
🫱🏽	People & Body	hand-fingers-open	rightwards hand: medium skin tone	rightwards hand: medium skin tone
🫱🏾	People & Body	hand-fingers-open	rightwards hand: medium-dark skin tone	rightwards hand: medium-dark skin tone
🫱🏿	People & Body	hand-fingers-open	rightwards hand: dark skin tone	rightwards hand: dark skin tone
🫲	People & Body	hand-fingers-open	leftwards hand	leftwards hand,hand,handshake,hold,left,leftward,leftwards,reach,shake
🫲🏻	People & Body	hand-fingers-open	leftwards hand: light skin tone	leftwards hand: light skin tone
🫲🏼	People & Body	hand-fingers-open	leftwards hand: medium-light skin tone	leftwards hand: medium-light skin tone
🫲🏽	People & Body	hand-fingers-open	leftwards hand: medium skin tone	leftwards hand: medium skin tone
🫲🏾	People & Body	hand-fingers-open	leftwards hand: medium-dark skin tone	leftwards hand: medium-dark skin tone
🫲🏿	People & Body	hand-fingers-open	leftwards hand: dark skin tone	leftwards hand: dark skin tone
🫳	People & Body	hand-fingers-open	palm down hand	palm down hand,dismiss,down,drop,dropped,hand,palm,pick,shoo,up
🫳🏻	People & Body	hand-fingers-open	palm down hand: light skin tone	palm down hand: light skin tone
🫳🏼	People & Body	hand-fingers-open	palm down hand: medium-light skin tone	palm down hand: medium-light skin tone
🫳🏽	People & Body	hand-fingers-open	palm down hand: medium skin tone	palm down hand: medium skin tone
🫳🏾	People & Body	hand-fingers-open	palm down hand: medium-dark skin tone	palm down hand: medium-dark skin tone
🫳🏿	People & Body	hand-fingers-open	palm down hand: dark skin tone	palm down hand: dark skin tone
🫴	People & Body	hand-fingers-open	palm up hand	palm up hand,beckon,catch,come,hand,hold,know,lift,me,offer,palm,tell
🫴🏻	People & Body	hand-fingers-open	palm up hand: light skin tone	palm up hand: light skin tone
🫴🏼	People & Body	hand-fingers-open	palm up hand: medium-light skin tone	palm up hand: medium-light skin tone
🫴🏽	People & Body	hand-fingers-open	palm up hand: medium skin tone	palm up hand: medium skin tone
🫴🏾	People & Body	hand-fingers-open	palm up hand: medium-dark skin tone	palm up hand: medium-dark skin tone
🫴🏿	People & Body	hand-fingers-open	palm up hand: dark skin tone	palm up hand: dark skin tone
🫷	People & Body	hand-fingers-open	leftwards pushing hand	leftwards pushing hand,block,five,halt,hand,high,hold,leftward,leftwards,pause,push,pushing,refuse,slap,stop,wait
🫷🏻	People & Body	hand-fingers-open	leftwards pushing hand: light skin tone	leftwards pushing hand: light skin tone
🫷🏼	People & Body	hand-fingers-open	leftwards pushing hand: medium-light skin tone	leftwards pushing hand: medium-light skin tone
🫷🏽	People & Body	hand-fingers-open	leftwards pushing hand: medium skin tone	leftwards pushing hand: medium skin tone
